
time = 0.01 min, beta = 0.450000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.04 min, beta = 0.450000, L = 40, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.09 min, beta = 0.450000, L = 60, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.16 min, beta = 0.450000, L = 80, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.25 min, beta = 0.450000, L = 100, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.03 min, beta = 0.400000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 100000

time = 0.10 min, beta = 0.400000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 100000

time = 0.23 min, beta = 0.400000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 100000

time = 0.03 min, beta = 0.450000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 100000

time = 0.10 min, beta = 0.450000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 100000

time = 0.22 min, beta = 0.450000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 100000

time = 0.02 min, beta = 0.400000, L = 10, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.06 min, beta = 0.400000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.13 min, beta = 0.400000, L = 30, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.02 min, beta = 0.450000, L = 10, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.06 min, beta = 0.450000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.13 min, beta = 0.450000, L = 30, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.14 min, beta = 0.400000, L = 10, iterations = 10000, iter_bet_meas = 1, num_measures = 1000000

time = 0.52 min, beta = 0.400000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 1000000

time = 1.17 min, beta = 0.400000, L = 30, iterations = 10000, iter_bet_meas = 1, num_measures = 1000000

time = 0.14 min, beta = 0.450000, L = 10, iterations = 10000, iter_bet_meas = 1, num_measures = 1000000

time = 0.52 min, beta = 0.450000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 1000000

time = 1.16 min, beta = 0.450000, L = 30, iterations = 10000, iter_bet_meas = 1, num_measures = 1000000

time = 0.06 min, beta = 0.200000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.24 min, beta = 0.200000, L = 40, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.53 min, beta = 0.200000, L = 60, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.06 min, beta = 0.400000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.24 min, beta = 0.400000, L = 40, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.53 min, beta = 0.400000, L = 60, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.06 min, beta = 0.200000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.23 min, beta = 0.200000, L = 40, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.52 min, beta = 0.200000, L = 60, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.05 min, beta = 0.500000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.21 min, beta = 0.500000, L = 40, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.51 min, beta = 0.500000, L = 60, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.01 min, beta = 0.400000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.410000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.420000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.430000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.440000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.450000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.460000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.470000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.480000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.490000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.500000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.400000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.401010, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.402020, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.403030, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.404040, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.405051, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.406061, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.407071, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.408081, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.409091, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.410101, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.411111, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.412121, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.413131, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.414141, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.415152, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.416162, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.417172, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.418182, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.419192, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.420202, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.421212, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.422222, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.423232, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.424242, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.425253, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.426263, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.427273, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.428283, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.429293, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.430303, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.431313, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.432323, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.433333, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.434343, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.435354, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.436364, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.437374, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.438384, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.439394, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.440404, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.441414, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.442424, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.443434, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.444444, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.445455, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.446465, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.447475, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.448485, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.449495, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.450505, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.451515, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.452525, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.453535, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.454545, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.455556, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.456566, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.457576, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.458586, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.459596, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.460606, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.461616, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.462626, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.463636, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.464646, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.465657, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.466667, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.467677, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.468687, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.469697, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.470707, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.471717, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.472727, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.473737, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.474747, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.475758, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.476768, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.477778, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.478788, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.479798, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.480808, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.481818, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.482828, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.483838, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.484848, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.485859, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.486869, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.487879, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.488889, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.489899, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.490909, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.491919, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.492929, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.493939, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.494949, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.495960, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.496970, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.497980, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.498990, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.500000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.400000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

